"filename", "language", "Java", "comment", "blank", "total"
"c:\Users\fani6\rollinter\RollinterServer\src\main\java\net\ausiasmarch\rollinter\repository\ReactionRepository.java", "Java", 19, 0, 18, 37
"c:\Users\fani6\rollinter\RollinterServer\src\main\java\net\ausiasmarch\rollinter\repository\RouteRepository.java", "Java", 16, 0, 13, 29
"c:\Users\fani6\rollinter\RollinterServer\src\main\java\net\ausiasmarch\rollinter\repository\TeamRepository.java", "Java", 17, 0, 10, 27
"c:\Users\fani6\rollinter\RollinterServer\src\main\java\net\ausiasmarch\rollinter\repository\UserRepository.java", "Java", 22, 0, 20, 42
"c:\Users\fani6\rollinter\RollinterServer\src\main\java\net\ausiasmarch\rollinter\repository\UsertypeRepository.java", "Java", 5, 0, 3, 8
"c:\Users\fani6\rollinter\RollinterServer\src\main\java\net\ausiasmarch\rollinter\service\AuthService.java", "Java", 130, 0, 18, 148
"c:\Users\fani6\rollinter\RollinterServer\src\main\java\net\ausiasmarch\rollinter\service\Chat_TeamService.java", "Java", 113, 8, 37, 158
"c:\Users\fani6\rollinter\RollinterServer\src\main\java\net\ausiasmarch\rollinter\service\CommentService.java", "Java", 119, 23, 40, 182
"c:\Users\fani6\rollinter\RollinterServer\src\main\java\net\ausiasmarch\rollinter\service\CoordinatesService.java", "Java", 84, 11, 45, 140
"c:\Users\fani6\rollinter\RollinterServer\src\main\java\net\ausiasmarch\rollinter\service\ReactionService.java", "Java", 131, 17, 35, 183
"c:\Users\fani6\rollinter\RollinterServer\src\main\java\net\ausiasmarch\rollinter\service\RouteService.java", "Java", 138, 3, 41, 182
"c:\Users\fani6\rollinter\RollinterServer\src\main\java\net\ausiasmarch\rollinter\service\TeamService.java", "Java", 185, 4, 52, 241
"c:\Users\fani6\rollinter\RollinterServer\src\main\java\net\ausiasmarch\rollinter\service\UserService.java", "Java", 242, 3, 57, 302
"c:\Users\fani6\rollinter\RollinterServer\src\main\java\net\ausiasmarch\rollinter\service\UsertypeService.java", "Java", 63, 2, 17, 82
"Total", "-", 2828, 102, 970, 3900
